Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM498,24.0,Female,14.0,Single,3.0,2.0,40932.0,85.0
TM498,24.0,Male,14.0,Single,3.0,4.0,48891.0,106.0
TM498,24.0,Female,16.0,Single,3.0,3.0,50028.0,106.0
TM498,25.0,Female,14.0,Partnered,2.0,3.0,45480.0,85.0
TM498,25.0,Female,14.0,Single,3.0,4.0,43206.0,127.0
TM498,25.0,Male,16.0,Partnered,2.0,2.0,52302.0,42.0
TM498,25.0,Female,14.0,Partnered,5.0,3.0,47754.0,106.0
TM498,25.0,Male,14.0,Single,3.0,3.0,45480.0,95.0
TM498,25.0,Female,14.0,Single,2.0,3.0,43206.0,64.0
TM498,25.0,Male,14.0,Partnered,4.0,3.0,45480.0,170.0
TM498,25.0,Male,14.0,Partnered,3.0,4.0,43206.0,106.0
TM498,25.0,Male,16.0,Partnered,2.0,3.0,50028.0,53.0
TM498,25.0,Female,14.0,Single,2.0,2.0,45480.0,42.0
TM498,25.0,Male,14.0,Single,4.0,3.0,48891.0,127.0
TM498,26.0,Female,16.0,Partnered,4.0,3.0,45480.0,85.0
TM498,26.0,Female,16.0,Single,4.0,4.0,50028.0,127.0
TM498,26.0,Male,16.0,Single,4.0,3.0,51165.0,106.0
TM498,27.0,Male,14.0,Single,4.0,2.0,45480.0,53.0
TM498,29.0,Female,14.0,Partnered,3.0,3.0,51165.0,95.0
TM498,30.0,Female,14.0,Single,3.0,3.0,57987.0,74.0
TM498,30.0,Female,13.0,Single,4.0,3.0,46617.0,106.0
TM498,31.0,Male,16.0,Partnered,3.0,3.0,52302.0,95.0
TM498,31.0,Female,16.0,Partnered,2.0,3.0,51165.0,64.0
TM498,32.0,Male,16.0,Single,4.0,3.0,60261.0,127.0
TM498,32.0,Male,16.0,Partnered,3.0,3.0,53439.0,95.0
TM498,33.0,Male,13.0,Partnered,4.0,4.0,53439.0,170.0
TM498,33.0,Female,16.0,Partnered,2.0,3.0,50028.0,85.0
TM498,33.0,Male,16.0,Partnered,3.0,3.0,51165.0,95.0
TM498,33.0,Female,16.0,Partnered,5.0,3.0,53439.0,95.0
TM498,33.0,Female,18.0,Single,3.0,4.0,47754.0,74.0
TM498,34.0,Female,16.0,Partnered,4.0,3.0,64809.0,95.0
TM498,34.0,Male,16.0,Partnered,3.0,4.0,59124.0,85.0
TM498,34.0,Male,15.0,Single,3.0,3.0,67083.0,85.0
TM498,35.0,Female,14.0,Partnered,3.0,2.0,52302.0,53.0
TM498,35.0,Male,16.0,Partnered,3.0,2.0,53439.0,53.0
TM498,35.0,Female,16.0,Single,3.0,2.0,50028.0,64.0
TM498,35.0,Male,16.0,Partnered,3.0,3.0,53439.0,95.0
TM498,37.0,Female,16.0,Partnered,2.0,3.0,48891.0,85.0
TM498,38.0,Female,16.0,Partnered,4.0,3.0,62535.0,85.0
TM498,38.0,Male,16.0,Partnered,3.0,3.0,59124.0,106.0
TM498,40.0,Female,16.0,Partnered,3.0,3.0,61398.0,85.0
TM498,40.0,Female,16.0,Single,3.0,3.0,57987.0,85.0
TM498,40.0,Male,16.0,Partnered,3.0,3.0,64809.0,95.0
TM498,45.0,Male,16.0,Partnered,2.0,2.0,54576.0,42.0
TM798,22.0,Male,14.0,Single,4.0,3.0,48658.0,106.0
TM798,22.0,Male,16.0,Single,3.0,5.0,54781.0,120.0
TM798,23.0,Male,16.0,Single,4.0,5.0,58516.0,140.0
TM798,23.0,Female,18.0,Single,5.0,4.0,53536.0,100.0
TM798,23.0,Male,16.0,Single,4.0,5.0,48556.0,100.0
TM798,24.0,Male,16.0,Single,4.0,5.0,61006.0,100.0
TM798,24.0,Male,18.0,Partnered,4.0,5.0,57271.0,80.0
TM798,24.0,Male,16.0,Single,5.0,5.0,49801.0,160.0
TM798,25.0,Male,16.0,Partnered,4.0,5.0,49801.0,120.0
TM798,25.0,Male,16.0,Partnered,4.0,4.0,62251.0,160.0
TM798,25.0,Male,18.0,Partnered,4.0,3.0,64741.0,100.0
TM798,26.0,Male,16.0,Partnered,5.0,4.0,64741.0,180.0
TM798,29.0,Male,18.0,Single,5.0,5.0,52290.0,180.0
